,ANG,GFI,IMP,MNP,SGL,AGL,BIL,GLN,MND,SAP,SOL,ACT,ADH,ALH,ACT,ADH,ALH,ACT,ADH,ALH
ANG,0.842,0.032,0.054,0.038,0.035,0.084,0.090,0.061,0.037,0.004,0.058,0.038,0.009,0.010,0.038,0.009,0.010,0.063,0.020,0.027
GFI,0.032,0.931,0.036,0.025,0.023,0.057,0.061,0.041,0.025,0.003,0.039,0.025,0.006,0.007,0.025,0.006,0.007,0.042,0.013,0.019
IMP,0.054,0.036,0.803,0.042,0.039,0.094,0.101,0.068,0.042,0.004,0.065,0.042,0.010,0.012,0.042,0.010,0.012,0.070,0.022,0.031
MNP,0.038,0.025,0.042,0.909,0.027,0.065,0.071,0.048,0.029,0.003,0.045,0.029,0.007,0.008,0.029,0.007,0.008,0.049,0.015,0.021
SGL,0.035,0.023,0.039,0.027,0.911,0.060,0.065,0.044,0.027,0.003,0.042,0.027,0.007,0.008,0.027,0.007,0.008,0.045,0.014,0.020
AGL,0.084,0.057,0.094,0.065,0.060,0.524,0.157,0.107,0.065,0.007,0.101,0.066,0.016,0.018,0.066,0.016,0.018,0.109,0.034,0.048
BIL,0.090,0.061,0.101,0.071,0.065,0.157,0.444,0.115,0.070,0.007,0.109,0.071,0.017,0.020,0.071,0.017,0.020,0.118,0.037,0.051
GLN,0.061,0.041,0.068,0.048,0.044,0.107,0.115,0.740,0.047,0.005,0.074,0.048,0.012,0.013,0.048,0.012,0.013,0.080,0.025,0.035
MND,0.037,0.025,0.042,0.029,0.027,0.065,0.070,0.047,0.904,0.003,0.045,0.029,0.007,0.008,0.029,0.007,0.008,0.048,0.015,0.021
SAP,0.004,0.003,0.004,0.003,0.003,0.007,0.007,0.005,0.003,1.000,0.005,0.003,0.001,0.001,0.003,0.001,0.001,0.005,0.002,0.002
SOL,0.058,0.039,0.065,0.045,0.042,0.101,0.109,0.074,0.045,0.005,0.772,0.046,0.011,0.013,0.046,0.011,0.013,0.076,0.024,0.033
ACT,0.038,0.025,0.042,0.029,0.027,0.066,0.071,0.048,0.029,0.003,0.046,1.007,0.007,0.008,0.030,0.007,0.008,0.049,0.015,0.021
ADH,0.009,0.006,0.010,0.007,0.007,0.016,0.017,0.012,0.007,0.001,0.011,0.007,1.002,0.002,0.007,0.002,0.002,0.012,0.004,0.005
ALH,0.010,0.007,0.012,0.008,0.008,0.018,0.020,0.013,0.008,0.001,0.013,0.008,0.002,0.999,0.008,0.002,0.002,0.014,0.004,0.006
ACT,0.038,0.025,0.042,0.029,0.027,0.066,0.071,0.048,0.029,0.003,0.046,0.030,0.007,0.008,1.007,0.007,0.008,0.049,0.015,0.021
ADH,0.009,0.006,0.010,0.007,0.007,0.016,0.017,0.012,0.007,0.001,0.011,0.007,0.002,0.002,0.007,1.002,0.002,0.012,0.004,0.005
ALH,0.010,0.007,0.012,0.008,0.008,0.018,0.020,0.013,0.008,0.001,0.013,0.008,0.002,0.002,0.008,0.002,0.999,0.014,0.004,0.006
ACT,0.063,0.042,0.070,0.049,0.045,0.109,0.118,0.080,0.048,0.005,0.076,0.049,0.012,0.014,0.049,0.012,0.014,1.000,0.026,0.036
ADH,0.020,0.013,0.022,0.015,0.014,0.034,0.037,0.025,0.015,0.002,0.024,0.015,0.004,0.004,0.015,0.004,0.004,0.026,0.998,0.011
ALH,0.027,0.019,0.031,0.021,0.020,0.048,0.051,0.035,0.021,0.002,0.033,0.021,0.005,0.006,0.021,0.005,0.006,0.036,0.011,1.001
