,ANG,GFI,IMP,MNP,SGL,AGL,BIL,GLN,MND,SAP,SOL,ACT,ADH,ALH,ACT,ADH,ALH,ACT,ADH,ALH
ANG,0.015,0.009,0.015,0.005,0.014,0.021,0.014,0.017,0.005,0.001,0.008,0.006,0.001,0.004,0.006,0.001,0.004,0.009,0.002,0.011
GFI,0.009,0.005,0.009,0.003,0.008,0.013,0.008,0.010,0.003,0.000,0.005,0.003,0.001,0.002,0.003,0.001,0.002,0.006,0.001,0.006
IMP,0.015,0.009,0.015,0.005,0.014,0.021,0.013,0.017,0.005,0.001,0.008,0.005,0.001,0.004,0.005,0.001,0.004,0.009,0.002,0.011
MNP,0.005,0.003,0.005,0.002,0.005,0.008,0.005,0.006,0.002,0.000,0.003,0.002,0.000,0.001,0.002,0.000,0.001,0.003,0.001,0.004
SGL,0.014,0.008,0.014,0.005,0.013,0.019,0.013,0.016,0.005,0.001,0.007,0.005,0.001,0.004,0.005,0.001,0.004,0.008,0.002,0.010
AGL,0.021,0.013,0.021,0.008,0.019,0.029,0.019,0.024,0.007,0.001,0.011,0.008,0.001,0.006,0.008,0.001,0.006,0.013,0.003,0.015
BIL,0.014,0.008,0.013,0.005,0.013,0.019,0.012,0.016,0.005,0.001,0.007,0.005,0.001,0.004,0.005,0.001,0.004,0.008,0.002,0.010
GLN,0.017,0.010,0.017,0.006,0.016,0.024,0.016,0.020,0.006,0.001,0.009,0.006,0.001,0.005,0.006,0.001,0.005,0.011,0.003,0.012
MND,0.005,0.003,0.005,0.002,0.005,0.007,0.005,0.006,0.002,0.000,0.003,0.002,0.000,0.001,0.002,0.000,0.001,0.003,0.001,0.004
SAP,0.001,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SOL,0.008,0.005,0.008,0.003,0.007,0.011,0.007,0.009,0.003,0.000,0.004,0.003,0.001,0.002,0.003,0.001,0.002,0.005,0.001,0.006
ACT,0.006,0.003,0.005,0.002,0.005,0.008,0.005,0.006,0.002,0.000,0.003,0.002,0.000,0.001,0.002,0.000,0.001,0.003,0.001,0.004
ADH,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001
ALH,0.004,0.002,0.004,0.001,0.004,0.006,0.004,0.005,0.001,0.000,0.002,0.001,0.000,0.001,0.001,0.000,0.001,0.002,0.001,0.003
ACT,0.006,0.003,0.005,0.002,0.005,0.008,0.005,0.006,0.002,0.000,0.003,0.002,0.000,0.001,0.002,0.000,0.001,0.003,0.001,0.004
ADH,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001
ALH,0.004,0.002,0.004,0.001,0.004,0.006,0.004,0.005,0.001,0.000,0.002,0.001,0.000,0.001,0.001,0.000,0.001,0.002,0.001,0.003
ACT,0.009,0.006,0.009,0.003,0.008,0.013,0.008,0.011,0.003,0.000,0.005,0.003,0.001,0.002,0.003,0.001,0.002,0.006,0.001,0.007
ADH,0.002,0.001,0.002,0.001,0.002,0.003,0.002,0.003,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.000,0.002
ALH,0.011,0.006,0.011,0.004,0.010,0.015,0.010,0.012,0.004,0.000,0.006,0.004,0.001,0.003,0.004,0.001,0.003,0.007,0.002,0.008
